service_id,date,exception_type
12-Weekday-3-19WINT-1111100,20190422,1
13-Saturday-1-19SPRI-0000010,20190504,1
13-Saturday-1-19SPRI-0000010,20190511,1
13-Saturday-1-19SPRI-0000010,20190518,1
13-Saturday-1-19SPRI-0000010,20190525,1
13-Saturday-1-19SPRI-0000010,20190601,1
13-Saturday-1-19SPRI-0000010,20190608,1
13-Saturday-1-19SPRI-0000010,20190615,1
13-Saturday-1-19SPRI-0000010,20190622,1
13-Saturday-1-19WINT-0000010,20190413,1
13-Saturday-1-19WINT-0000010,20190420,1
13-Saturday-1-19WINT-0000010,20190427,1
13-Sunday-1-19SPRI-0000001,20190505,1
13-Sunday-1-19SPRI-0000001,20190512,1
13-Sunday-1-19SPRI-0000001,20190519,1
13-Sunday-1-19SPRI-0000001,20190526,1
13-Sunday-1-19SPRI-0000001,20190602,1
13-Sunday-1-19SPRI-0000001,20190609,1
13-Sunday-1-19SPRI-0000001,20190616,1
13-Sunday-1-19SPRI-0000001,20190623,1
13-Sunday-1-19WINT-0000001,20190414,1
13-Sunday-1-19WINT-0000001,20190419,1
13-Sunday-1-19WINT-0000001,20190421,1
13-Sunday-1-19WINT-0000001,20190428,1
13-Weekday-1-19SPRI-1111100,20190429,1
13-Weekday-1-19SPRI-1111100,20190430,1
13-Weekday-1-19SPRI-1111100,20190501,1
13-Weekday-1-19SPRI-1111100,20190502,1
13-Weekday-1-19SPRI-1111100,20190503,1
13-Weekday-1-19SPRI-1111100,20190506,1
13-Weekday-1-19SPRI-1111100,20190507,1
13-Weekday-1-19SPRI-1111100,20190508,1
13-Weekday-1-19SPRI-1111100,20190509,1
13-Weekday-1-19SPRI-1111100,20190510,1
13-Weekday-1-19SPRI-1111100,20190513,1
13-Weekday-1-19SPRI-1111100,20190514,1
13-Weekday-1-19SPRI-1111100,20190515,1
13-Weekday-1-19SPRI-1111100,20190516,1
13-Weekday-1-19SPRI-1111100,20190517,1
13-Weekday-1-19SPRI-1111100,20190520,1
13-Weekday-1-19SPRI-1111100,20190521,1
13-Weekday-1-19SPRI-1111100,20190522,1
13-Weekday-1-19SPRI-1111100,20190523,1
13-Weekday-1-19SPRI-1111100,20190524,1
13-Weekday-1-19SPRI-1111100,20190527,1
13-Weekday-1-19SPRI-1111100,20190528,1
13-Weekday-1-19SPRI-1111100,20190529,1
13-Weekday-1-19SPRI-1111100,20190530,1
13-Weekday-1-19SPRI-1111100,20190531,1
13-Weekday-1-19SPRI-1111100,20190603,1
13-Weekday-1-19SPRI-1111100,20190604,1
13-Weekday-1-19SPRI-1111100,20190605,1
13-Weekday-1-19SPRI-1111100,20190606,1
13-Weekday-1-19SPRI-1111100,20190607,1
13-Weekday-1-19SPRI-1111100,20190610,1
13-Weekday-1-19SPRI-1111100,20190611,1
13-Weekday-1-19SPRI-1111100,20190612,1
13-Weekday-1-19SPRI-1111100,20190613,1
13-Weekday-1-19SPRI-1111100,20190614,1
13-Weekday-1-19SPRI-1111100,20190617,1
13-Weekday-1-19SPRI-1111100,20190618,1
13-Weekday-1-19SPRI-1111100,20190619,1
13-Weekday-1-19SPRI-1111100,20190620,1
13-Weekday-1-19SPRI-1111100,20190621,1
13-Weekday-1-19WINT-0101000,20190409,1
13-Weekday-1-19WINT-0101000,20190411,1
13-Weekday-1-19WINT-0101000,20190416,1
13-Weekday-1-19WINT-0101000,20190418,1
13-Weekday-1-19WINT-0101000,20190423,1
13-Weekday-1-19WINT-0101000,20190425,1
13-Weekday-1-19WINT-1111100,20190408,1
13-Weekday-1-19WINT-1111100,20190409,1
13-Weekday-1-19WINT-1111100,20190410,1
13-Weekday-1-19WINT-1111100,20190411,1
13-Weekday-1-19WINT-1111100,20190415,1
13-Weekday-1-19WINT-1111100,20190416,1
13-Weekday-1-19WINT-1111100,20190417,1
13-Weekday-1-19WINT-1111100,20190418,1
13-Weekday-1-19WINT-1111100,20190423,1
13-Weekday-1-19WINT-1111100,20190424,1
13-Weekday-1-19WINT-1111100,20190425,1
13-Weekday-1-19WINT-1111100,20190426,1
13-Weekday-1-19WINT-1111100,20190412,1
13-Weekday-1-19WINT-1111100,20190422,1
14-Weekday-2-19SPRI-1111100,20190429,1
14-Weekday-2-19SPRI-1111100,20190430,1
14-Weekday-2-19SPRI-1111100,20190501,1
14-Weekday-2-19SPRI-1111100,20190502,1
14-Weekday-2-19SPRI-1111100,20190503,1
14-Weekday-2-19SPRI-1111100,20190506,1
14-Weekday-2-19SPRI-1111100,20190507,1
14-Weekday-2-19SPRI-1111100,20190508,1
14-Weekday-2-19SPRI-1111100,20190509,1
14-Weekday-2-19SPRI-1111100,20190510,1
14-Weekday-2-19SPRI-1111100,20190513,1
14-Weekday-2-19SPRI-1111100,20190514,1
14-Weekday-2-19SPRI-1111100,20190515,1
14-Weekday-2-19SPRI-1111100,20190516,1
14-Weekday-2-19SPRI-1111100,20190517,1
14-Weekday-2-19SPRI-1111100,20190520,1
14-Weekday-2-19SPRI-1111100,20190521,1
14-Weekday-2-19SPRI-1111100,20190522,1
14-Weekday-2-19SPRI-1111100,20190523,1
14-Weekday-2-19SPRI-1111100,20190524,1
14-Weekday-2-19SPRI-1111100,20190527,1
14-Weekday-2-19SPRI-1111100,20190528,1
14-Weekday-2-19SPRI-1111100,20190529,1
14-Weekday-2-19SPRI-1111100,20190530,1
14-Weekday-2-19SPRI-1111100,20190531,1
14-Weekday-2-19SPRI-1111100,20190603,1
14-Weekday-2-19SPRI-1111100,20190604,1
14-Weekday-2-19SPRI-1111100,20190605,1
