route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
301,09MF,138,301 Fairway,0,09MF,[@1.0.5502541@]21,0,0
301,07MF,100,301 Fairway,0,07MF,[@3.0.25522486@]22,0,0
301,04MF,271,301 Conestoga,1,04MF,[@1.0.5502541@]11,0,0
301,03SA,435,301 Fairway,0,03SA,[@1.0.5502541@]21,0,0
301,06SA,316,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
301,05SA,426,301 Fairway,0,05SA,[@1.0.5502541@]21,0,0
301,09MF,158,301 Fairway,0,09MF,[@1.0.5502541@]21,0,0
301,09MF,256,301 Conestoga,1,09MF,[@1.0.5502541@]11,0,0
301,07MF,234,301 Conestoga,1,07MF,[@1.0.5502541@]11,0,0
301,02SA,296,301 Fairway,0,02SA,[@1.0.5502541@]21,0,0
301,01SA,341,301 Conestoga,1,01SA,[@1.0.5502541@]11,0,0
301,06MF,233,301 Conestoga,1,06MF,[@1.0.5502541@]11,0,0
301,02SA,385,301 Conestoga,1,02SA,[@1.0.5502541@]11,0,0
301,08MF,191,301 Fairway,0,08MF,[@1.0.5502541@]21,0,0
301,07SA,395,301 Conestoga,1,07SA,[@1.0.5502541@]11,0,0
301,02MF,171,301 Fairway,0,02MF,[@1.0.5502541@]21,0,0
301,01MF,218,301 Conestoga,1,01MF,[@1.0.5502541@]11,0,0
301,01SU,502,301 Fairway,0,01SU,[@1.0.5502541@]21,0,0
301,02MF,131,301 Fairway,0,02MF,[@1.0.5502541@]21,0,0
301,02MF,292,301 Conestoga,1,02MF,[@1.0.5502541@]11,0,0
301,04SA,326,301 Fairway,0,04SA,[@1.0.5502541@]21,0,0
301,05SA,419,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,03MF,230,301 Conestoga,1,03MF,[@1.0.5502541@]11,0,0
301,01MF,277,301 Conestoga,1,01MF,[@1.0.5502541@]11,0,0
301,06SU,477,301 Conestoga,1,06SU,[@1.0.5502541@]11,0,0
301,02MF,209,301 Conestoga,1,02MF,[@1.0.5502541@]11,0,0
301,05MF,262,301 Conestoga,1,05MF,[@1.0.5502541@]11,0,0
301,02SU,566,301 Conestoga,1,02SU,[@1.0.5502541@]11,0,0
301,07SA,388,301 Fairway,0,07SA,[@1.0.5502541@]21,0,0
301,06MF,213,301 Conestoga,1,06MF,[@1.0.5502541@]11,0,0
301,01MF,284,301 Conestoga,1,01MF,[@1.0.5502541@]11,0,0
301,06SU,505,301 Conestoga,1,06SU,[@1.0.5502541@]11,0,0
301,03SA,439,301 Conestoga,1,03SA,[@1.0.5502541@]11,0,0
301,08MF,289,301 Conestoga,1,08MF,[@1.0.5502541@]11,0,0
301,10MF,267,301 Conestoga,1,10MF,[@1.0.5502541@]11,0,0
301,02SA,406,301 Fairway,0,02SA,[@1.0.5502541@]21,0,0
301,03SU,513,301 Conestoga,1,03SU,[@1.0.5502541@]11,0,0
301,07SU,451,301 Conestoga,1,07SU,[@1.0.5502541@]11,0,0
301,04SU,494,301 Fairway,0,04SU,[@1.0.5502541@]21,0,0
301,10MF,101,301 Fairway,0,10MF,[@1.0.5502541@]21,0,0
301,05SA,363,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,05SA,335,301 Conestoga,1,05SA,[@1.0.5502541@]11,0,0
301,01SA,362,301 Fairway,0,01SA,[@1.0.5502541@]21,0,0
301,06SU,512,301 Fairway,0,06SU,[@1.0.5502541@]21,0,0
301,05SU,489,301 Conestoga,1,05SU,[@1.0.5502541@]11,0,0
301,10MF,149,301 Fairway,0,10MF,[@1.0.5502541@]21,0,0
301,04MF,286,301 Conestoga,1,04MF,[@1.0.5502541@]11,0,0
301,04MF,173,301 Fairway,0,04MF,[@1.0.5502541@]21,0,0
301,03SU,471,301 Conestoga,1,03SU,[@1.0.5502541@]11,0,0
301,07SA,332,301 Fairway,0,07SA,[@1.0.5502541@]21,0,0
301,04MF,133,301 Fairway,0,04MF,[@1.0.5502541@]21,0,0
301,06SA,386,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
301,02SU,455,301 Conestoga,1,02SU,[@1.0.5502541@]11,0,0
301,01SU,495,301 Conestoga,1,01SU,[@1.0.5502541@]11,0,0
301,07SA,339,301 Conestoga,1,07SA,[@1.0.5502541@]11,0,0
301,08MF,117,301 Fairway,0,08MF,[@1.0.5502541@]21,0,0
301,01SU,565,301 Conestoga,1,01SU,[@1.0.5502541@]11,0,0
301,01SA,432,301 Fairway,0,01SA,[@1.0.5502541@]21,0,0
301,03SU,506,301 Fairway,0,03SU,[@1.0.5502541@]21,0,0
301,04MF,181,301 Fairway,0,04MF,[@1.0.5502541@]21,0,0
301,05SA,412,301 Fairway,0,05SA,[@1.0.5502541@]21,0,0
301,09MF,128,301 Fairway,0,09MF,[@1.0.5502541@]21,0,0
301,06MF,223,301 Conestoga,1,06MF,[@1.0.5502541@]11,0,0
301,02MF,259,301 Conestoga,1,02MF,[@1.0.5502541@]11,0,0
301,06SA,330,301 Fairway,0,06SA,[@1.0.5502541@]21,0,0
